doi,my_screening,my_priority
10.1101/2025.10.20.25337146,False,
10.1093/nar/gkaf923,False,
10.1038/d41586-025-03499-2,False,
10.1093/nar/gkaf1089,False,
10.1371/journal.pcbi.1013633,True,low
10.1101/2025.10.29.25339041,False,
10.1126/science.aed4589,False,
10.1101/2025.10.24.25338721,False,
10.1126/science.aeb5128,False,
10.1371/journal.pcbi.1012852,False,
10.1038/s41587-025-02909-0,False,
10.1126/science.aed1909,False,
10.1038/s41588-025-02352-6,False,
10.1101/2025.10.25.684557,False,
10.1093/nar/gkaf931,False,
10.1038/s41588-025-02369-x,False,
10.1038/s41573-025-01316-z,True,high
10.1101/2025.10.31.685722,False,
10.1093/bib/bbaf588,False,
10.1038/s41587-025-02874-8,False,
10.1038/s41586-025-09380-6,False,
10.1126/science.adq5229,False,
10.1093/bib/bbaf500,False,
10.1126/science.aec7043,False,
10.1093/nar/gkaf1149,True,medium
10.1126/science.aec3871,False,
10.1038/s41586-025-09629-0,False,
10.1186/s12859-025-06226-w,True,medium
10.1101/2025.10.30.685465,False,
10.1186/s12859-025-06288-w,True,low
10.1101/2025.10.29.685313,False,
10.1038/s41586-025-09676-7,False,
10.1126/science.aec4187,False,
10.1101/2025.10.29.685317,False,
10.1126/science.adt1210,False,
10.1038/s41586-025-09625-4,False,
10.1371/journal.pcbi.1013646,False,
10.1093/bib/bbaf568,True,high
10.1126/science.ady2708,False,
10.1038/d41586-025-03561-z,False,
10.1126/science.aeb1978,False,
10.1038/s41588-025-02373-1,False,
10.1038/d41586-025-03595-3,False,
10.1371/journal.pcbi.1013588,True,high
10.1126/science.aed4586,False,
10.1038/s41588-025-02389-7,False,
10.1038/d41586-025-03553-z,False,
10.1101/2025.10.29.685292,False,
10.1093/nar/gkaf1197,False,
10.1186/s12864-025-12180-x,False,
10.1093/nar/gkaf1158,False,
10.1038/d41586-025-03555-x,False,
10.1093/bioinformatics/btaf480,False,
10.1101/2025.10.29.685455,True,low
10.1038/s41588-025-02372-2,False,
10.1093/bib/bbaf570,True,medium
10.1371/journal.pcbi.1013094,True,low
10.1093/nar/gkaf1069,False,
10.1371/journal.pcbi.1013627,False,
10.1186/s12864-025-12176-7,False,
10.1038/d41573-025-00173-0,False,
10.1101/2025.10.25.25338793,False,
10.1093/nar/gkaf1079,False,
10.1038/s41586-025-09650-3,False,
10.1371/journal.pcbi.1013641,False,
10.1186/s13059-025-03844-8,True,medium
10.1093/bib/bbaf555,True,low
10.1038/s41586-025-09695-4,False,
10.1038/s41586-025-09801-6,False,
10.1101/2025.10.30.685685,True,low
10.1093/nar/gkaf1091,False,
10.1101/2025.10.29.685322,True,medium
10.1038/d41586-025-03551-1,False,
10.1101/2025.10.31.685769,False,
10.1093/nar/gkaf487,False,
10.1186/s12859-025-06219-9,True,low
10.1038/d41586-025-03552-0,False,
10.1186/s12864-025-12156-x,False,
10.1038/d41586-025-03542-2,False,
10.1093/bib/bbaf554,False,
10.1038/d41586-025-03414-9,False,
10.1093/nar/gkaf1071,False,
10.1126/science.aeb5165,False,
10.1093/nar/gkaf1181,False,
10.1101/2025.10.28.25338899,True,low
10.1126/science.aeb0660,False,
10.1093/bib/bbaf549,True,low
10.1038/s41586-025-09689-2,False,
10.1126/science.aeb5722,False,
10.1038/d41586-025-03566-8,False,
10.1093/nar/gkaf1063,False,
10.1038/s41586-025-09381-5,False,
10.1101/2025.10.29.685285,False,
10.1038/s41587-025-02853-z,False,
10.1101/2025.10.22.25338411,False,
10.1038/s41588-025-02368-y,False,
10.1038/d41586-025-03514-6,False,
10.1126/science.adz2101,False,
10.1093/bib/bbaf575,False,
10.1126/science.adu1351,False,
10.1126/science.ady6100,False,
10.1038/s41586-025-09678-5,False,
10.1038/s41586-025-09686-5,False,
10.1038/d41586-025-03562-y,False,
10.1038/s41586-025-09699-0,False,
10.1101/2025.10.31.685718,True,low
10.1371/journal.pcbi.1013614,True,high
10.1093/bib/bbaf564,True,medium
10.1038/d41586-025-03512-8,False,
10.1126/science.adz0541,False,
10.1038/s41587-025-02918-z,False,
10.1126/science.aed4587,False,
10.1093/bib/bbaf569,False,
10.1038/s41586-025-09688-3,False,
10.1038/s41588-025-02261-8,False,
10.1186/s12859-025-06275-1,False,
10.1126/science.aea0774,False,
10.1101/2025.10.31.685798,False,
10.1038/d41586-025-03474-x,False,
10.1126/science.aed4210,False,
10.1038/s41573-025-01308-z,True,high
10.1101/2025.10.25.25338800,False,
10.1126/science.ady6674,False,
10.1126/science.aed4208,False,
10.1038/d41573-025-00175-y,True,low
10.1101/2025.10.31.685785,False,
10.1101/2025.10.30.685515,True,high
10.1093/bib/bbaf556,True,low
10.1126/science.aeb5153,False,
10.1186/s13059-025-03786-1,False,
10.1101/2025.10.30.685483,False,
10.1038/s41586-025-09690-9,False,
10.1101/2025.10.27.25338904,True,high
10.1126/science.aec1997,False,
10.1038/d41586-025-03513-7,False,
10.1126/science.aec1973,False,
